name,sector,risk,expected_return,market_cap
Reliance Industries,Energy,medium,14.2,Large
TCS,IT,low,12.8,Large
HDFC Bank,Banking,low,13.1,Large
Zomato,Consumer Tech,high,22.4,Mid
Adani Green,Renewable,high,25.1,Mid
Infosys,IT,low,11.9,Large
ICICI Bank,Banking,medium,15.3,Large
Bharti Airtel,Telecom,medium,13.8,Large
Asian Paints,Consumer Goods,low,10.5,Large
Tata Motors,Auto,high,18.5,Large
HCL Technologies,IT,low,11.2,Large
Maruti Suzuki,Auto,medium,12.4,Large
Axis Bank,Banking,medium,14.8,Large
Larsen & Toubro,Infrastructure,medium,13.5,Large
Bajaj Finance,Financial Services,high,19.2,Large
Wipro,IT,low,9.8,Large
Sun Pharma,Pharma,medium,12.1,Large
NTPC,Power,low,8.9,Large
Coal India,Mining,low,9.5,Large
Tata Steel,Metals,high,16.8,Large
