name,category,risk,expected_return,min_horizon
SBI Bluechip Fund,Large Cap,low,10.5,3
Axis Long Term Equity,ELSS,medium,13.2,3
Nippon Small Cap Fund,Small Cap,high,18.7,5
HDFC Hybrid Equity,Hybrid,medium,11.8,3
ICICI Pru Liquid Fund,Debt,low,6.5,1
Franklin India Feeder Fund,International,medium,12.3,5
UTI Nifty 50 Index Fund,Index,low,11.2,3
Kotak Corporate Bond Fund,Debt,low,7.8,2
SBI Magnum Gilt Fund,Gilt,low,8.5,3
Mirae Asset Emerging Bluechip,Large & Mid Cap,medium,14.5,3
Canara Robeco Equity Tax Saver,ELSS,medium,12.9,3
DSP Midcap Fund,Mid Cap,high,15.8,5
Nippon India Growth Fund,Mid Cap,high,16.2,5
HDFC Short Term Debt Fund,Debt,low,7.2,1
Aditya Birla Sun Life Frontline Equity,Large Cap,medium,11.5,3
